imprint-register-keeper;Register keeper
imprint-contact-person;Contact person
imprint-register-name;Register name
imprint-purpose-and-use-of-the-register;Purpose and use of the register
imprint-register-content;Register content
imprint-customer-data-content;Customer data content
imprint-required-information;Required information
imprint-these-must-be-given-in-order-to-register;These must be given in order to register
imprint-user-name;User name
imprint-password;Password
imprint-email;Email
imprint-hometown;Hometown
imprint-status;Status
imprint-working-in-private-sector;Working in private sector
imprint-working-in-public-sector;working in public sector
imprint-student;student
imprint-senior-citizen;senior citizen
imprint-other;other
imprint-in-addition-the-user-may-voluntarily-provide-other-information-such-as;In addition, the user may voluntarily provide other information, such as
imprint-first-name;First name
imprint-last-name;Last name
imprint-gender;Gender
imprint-date-of-birth;Date of Birth
imprint-country-of-residence;Country of residence
imprint-user-interface-language;User interface language
imprint-biography;Biography
imprint-web-links;Web links
imprint-position-title;Position / title
imprint-employer-organization;Employer / organization
imprint-time-zone;Time zone
imprint-openid;OpenID
imprint-regular-data-sources;Regular data sources
imprint-customer-given-information;Customer given information
imprint-regular-data-transfer-and-disclosure-to-the-eu-and-or-outside-eu;Regular data transfer and disclosure to the EU and/or outside EU
imprint-data-protection-principles;Data protection principles
imprint-private-customer-information-will-not-be-disclosed-to-a-third-party;Private customer information will not be disclosed to a third party
imprint-private-information-is-password-protected-and-accessed-only-by-defined-persons;Private information is password-protected and accessed only by defined persons
imprint-images-and-photos;Images and photos
imprint-startpage;Startpage
imprint-massidea-org-user-register-and-service-specific-maintenance-records;Massidea.org user register and service specific maintenance records
